data,بدون_تشكيل,tag,المحذوف
بِسْمِ,بسم,,
اللَّهِ,,اسم,اللَّهِ
الرَّحْمَٰنِ,,اسم,الرَّحْمَٰنِ
الرَّحِيمِ,,اسم,الرَّحِيمِ
الْحَمْدُ,الحمد,اسم,الْحَمْدُ
لِلَّهِ,,اسم,لله
رَبِّ,رب,,
الْعَالَمِينَ,العالمين,اسم,الْعَالَمِينَ
الرَّحْمَٰنِ,,اسم,الرَّحْمَٰنِ
الرَّحِيمِ,,اسم,الرَّحِيمِ
مَالِكِ,مالك,,
يَوْمِ,يوم,,
الدِّينِ,الدين,اسم,الدِّينِ
إِيَّاكَ,,اسم,اياك
نَعْبُدُ,نعبد,,
,واياك,حرف,وَإِيَّاكَ
نَسْتَعِينُ,نستعين,,
اهْدِنَا,اهدنا,,
الصِّرَاطَ,الصراط,اسم,الصِّرَاطَ
الْمُسْتَقِيمَ,المستقيم,اسم,الْمُسْتَقِيمَ
صِرَاطَ,صراط,,
الَّذِينَ,,اسم,الَّذِينَ
أَنْعَمْتَ,انعمت,,
,عليهم,حرف_جر,عَلَيْهِمْ
,غير,اسم,غَيْرِ
الْمَغْضُوبِ,المغضوب,اسم,الْمَغْضُوبِ
,عليهم,حرف_جر,عَلَيْهِمْ
,ولا,اسم,وَلَا
الضَّالِّينَ,الضالين,اسم,الضَّالِّينَ
بِسْمِ,بسم,,
اللَّهِ,,اسم,اللَّهِ
الرَّحْمَٰنِ,,اسم,الرَّحْمَٰنِ
الرَّحِيمِ,,اسم,الرَّحِيمِ
الم,الم,,
ذَٰلِكَ,,اسم,ذلك
الْكِتَابُ,الكتاب,اسم,الْكِتَابُ
,لا,حرف,لَا
رَيْبَ,ريب,,
,فيه,حرف_جر,فِيهِ
,هدي,اسم,هُدًى
لِلْمُتَّقِينَ,للمتقين,,
الَّذِينَ,,اسم,الَّذِينَ
يُؤْمِنُونَ,يومنون,,
بِالْغَيْبِ,بالغيب,,
وَيُقِيمُونَ,ويقيمون,,
الصَّلَاةَ,,اسم,الصَّلَاةَ
,ومما,حرف_جر,وَمِمَّا
,رزقناهم,اسم,رَزَقْنَاهُمْ
يُنْفِقُونَ,ينفقون,,
وَالَّذِينَ,,اسم,والذين
يُؤْمِنُونَ,يومنون,,
,بما,حرف_جر,بِمَا
,انزل,اسم,أُنْزِلَ
إِلَيْكَ,,اسم,اليك
,وما,حرف,وَمَا
أُنْزِلَ,انزل,,
,,فعل,مِنْ
قَبْلِكَ,قبلك,,
وَبِالْآخِرَةِ,وبالاخره,,
هُمْ,,اسم,هم
يُوقِنُونَ,يوقنون,,
أُولَٰئِكَ,,اسم,اوليك
,علي,حرف_جر,عَلَىٰ
,هدي,اسم,هُدًى
,,فعل,مِنْ
رَبِّهِمْ,ربهم,,
وَأُولَٰئِكَ,,اسم,واوليك
هُمُ,,اسم,هم
الْمُفْلِحُونَ,المفلحون,اسم,الْمُفْلِحُونَ
,ان,حرف,إِنَّ
الَّذِينَ,,اسم,الَّذِينَ
كَفَرُوا,كفروا,,
,None,اسم,سَوَاءٌ
,عليهم,حرف_جر,عَلَيْهِمْ
,اانذرتهم,اسم,أَأَنْذَرْتَهُمْ
,ام,حرف,أَمْ
,,فعل,لَمْ
تُنْذِرْهُمْ,تنذرهم,,
,لا,حرف,لَا
يُؤْمِنُونَ,يومنون,,
,ختم,فعل,
اللَّهُ,,اسم,اللَّهُ
,علي,حرف_جر,عَلَىٰ
,قلوبهم,اسم,قُلُوبِهِمْ
,وعلي,حرف_جر,وَعَلَىٰ
,سمعهم,اسم,سَمْعِهِمْ
,وعلي,حرف_جر,وَعَلَىٰ
,ابصارهم,اسم,أَبْصَارِهِمْ
,None,اسم,غِشَاوَةٌ
,ولهم,حرف_جر,وَلَهُمْ
,None,اسم,عَذَابٌ
,None,اسم,عَظِيمٌ
,ومن,حرف_جر,وَمِنَ
,الناس,اسم,النَّاسِ
,,فعل,مَنْ
,يقول,فعل,
آمَنَّا,امنا,,
بِاللَّهِ,بالله,,
وَبِالْيَوْمِ,وباليوم,,
الْآخِرِ,,اسم,الْآخِرِ
,وما,حرف,وَمَا
هُمْ,,اسم,هم
بِمُؤْمِنِينَ,بمومنين,,
يُخَادِعُونَ,يخادعون,,
اللَّهَ,,اسم,اللَّهَ
وَالَّذِينَ,,اسم,والذين
آمَنُوا,امنوا,,
,وما,حرف,وَمَا
يَخْدَعُونَ,يخدعون,,
,الا,حرف,إِلَّا
أَنْفُسَهُمْ,انفسهم,,
,وما,حرف,وَمَا
يَشْعُرُونَ,يشعرون,,
,في,حرف_جر,فِي
,قلوبهم,اسم,قُلُوبِهِمْ
,None,اسم,مَرَضٌ
فَزَادَهُمُ,فزادهم,,
اللَّهُ,,اسم,اللَّهُ
,None,اسم,مَرَضًا
,ولهم,حرف_جر,وَلَهُمْ
,None,اسم,عَذَابٌ
,None,اسم,أَلِيمٌ
,بما,حرف_جر,بِمَا
,كانوا,اسم,كَانُوا
يَكْذِبُونَ,يكذبون,,
وَإِذَا,واذا,,
قِيلَ,قيل,,
,لهم,حرف_جر,لَهُمْ
,لا,اسم,لَا
تُفْسِدُوا,تفسدوا,,
,في,حرف_جر,فِي
,الارض,اسم,الْأَرْضِ
قَالُوا,قالوا,,
,انما,حرف,إِنَّمَا
نَحْنُ,,اسم,نحن
مُصْلِحُونَ,مصلحون,,
,الا,فعل,
إِنَّهُمْ,انهم,,
هُمُ,,اسم,هم
الْمُفْسِدُونَ,المفسدون,اسم,الْمُفْسِدُونَ
,ولكن,حرف,وَلَٰكِنْ
,لا,حرف,لَا
يَشْعُرُونَ,يشعرون,,
وَإِذَا,واذا,,
قِيلَ,قيل,,
,لهم,حرف_جر,لَهُمْ
,امنوا,اسم,آمِنُوا
,كما,حرف,كَمَا
آمَنَ,امن,,
النَّاسُ,الناس,اسم,النَّاسُ
قَالُوا,قالوا,,
أَنُؤْمِنُ,انومن,,
,كما,حرف,كَمَا
آمَنَ,امن,,
السُّفَهَاءُ,السفهاء,اسم,السُّفَهَاءُ
,الا,فعل,
إِنَّهُمْ,انهم,,
هُمُ,,اسم,هم
السُّفَهَاءُ,السفهاء,اسم,السُّفَهَاءُ
,ولكن,حرف,وَلَٰكِنْ
,لا,حرف,لَا
يَعْلَمُونَ,يعلمون,,
وَإِذَا,واذا,,
لَقُوا,لقوا,,
الَّذِينَ,,اسم,الَّذِينَ
آمَنُوا,امنوا,,
قَالُوا,قالوا,,
آمَنَّا,امنا,,
وَإِذَا,واذا,,
خَلَوْا,خلوا,,
إِلَىٰ,الي,,
شَيَاطِينِهِمْ,شياطينهم,,
قَالُوا,قالوا,,
إِنَّا,,اسم,انا
مَعَكُمْ,معكم,,
,انما,حرف,إِنَّمَا
نَحْنُ,,اسم,نحن
مُسْتَهْزِئُونَ,مستهزيون,,
اللَّهُ,,اسم,اللَّهُ
يَسْتَهْزِئُ,يستهزي,,
,بهم,حرف_جر,بِهِمْ
,ويمدهم,اسم,وَيَمُدُّهُمْ
,في,حرف_جر,فِي
,طغيانهم,اسم,طُغْيَانِهِمْ
يَعْمَهُونَ,يعمهون,,
أُولَٰئِكَ,,اسم,اوليك
الَّذِينَ,,اسم,الَّذِينَ
اشْتَرَوُا,اشتروا,,
الضَّلَالَةَ,الضلاله,اسم,الضَّلَالَةَ
بِالْهُدَىٰ,بالهدي,,
,فما,حرف,فَمَا
رَبِحَتْ,ربحت,,
تِجَارَتُهُمْ,تجارتهم,,
,وما,حرف,وَمَا
كَانُوا,كانوا,,
مُهْتَدِينَ,مهتدين,,
مَثَلُهُمْ,مثلهم,,
كَمَثَلِ,كمثل,,
الَّذِي,,اسم,الَّذِي
اسْتَوْقَدَ,استوقد,,
,None,اسم,نَارًا
,فلما,حرف,فَلَمَّا
أَضَاءَتْ,اضاءت,,
مَا,,اسم,ما
حَوْلَهُ,حوله,,
,,فعل,
اللَّهُ,,اسم,اللَّهُ
بِنُورِهِمْ,بنورهم,,
وَتَرَكَهُمْ,وتركهم,,
,في,حرف_جر,فِي
,None,اسم,ظُلُمَاتٍ
,لا,حرف,لَا
يُبْصِرُونَ,يبصرون,,
,None,اسم,صُمٌّ
,None,اسم,بُكْمٌ
,None,اسم,عُمْيٌ
,فهم,حرف,فَهُمْ
,لا,حرف,لَا
يَرْجِعُونَ,يرجعون,,
,او,حرف,أَوْ
,None,اسم,كَصَيِّبٍ
مِنَ,,اسم,من
السَّمَاءِ,السماء,اسم,السَّمَاءِ
,فيه,حرف_جر,فِيهِ
,None,اسم,ظُلُمَاتٌ
,None,اسم,وَرَعْدٌ
,None,اسم,وَبَرْقٌ
يَجْعَلُونَ,يجعلون,,
أَصَابِعَهُمْ,اصابعهم,,
,في,حرف_جر,فِي
,اذانهم,اسم,آذَانِهِمْ
مِنَ,,اسم,من
الصَّوَاعِقِ,الصواعق,اسم,الصَّوَاعِقِ
حَذَرَ,حذر,,
الْمَوْتِ,الموت,اسم,الْمَوْتِ
وَاللَّهُ,والله,,
,None,اسم,مُحِيطٌ
بِالْكَافِرِينَ,بالكافرين,,
يَكَادُ,يكاد,,
الْبَرْقُ,البرق,اسم,الْبَرْقُ
يَخْطَفُ,يخطف,,
